title,date
"Wilmington Campaign",1864-12-07
"Gallipoli Campaign",1916-01-09
"Brandenburg state election, 2014",2014-09-14
"Jammu and Kashmir Legislative Assembly election, 1972",1972-06-17
"Battle of the Black Mountain",1794-11-20
"United States Senate election in North Carolina, 1984",1984-11-06
"United States presidential election in Pennsylvania, 1888",1888-11-06
"Battle of the Baztan Valley",1794-08-01
"Battle of Sezawa",1542-03-09
"1983 Sea of Japan earthquake",1983-05-26
"Tonbridge and Malling Borough Council election, 2011",2011-05-05
"United States presidential election in Utah, 1988",1988-11-08
"Battle of Santo Tomas",1899-05-04
"1989 Scottish League Cup Final",1989-10-22
"United States Senate election in Michigan, 1984",1984-11-06
"1994 UEFA Champions League Final",1994-05-18
"Philippine gubernatorial elections, 2016",2016-05-09
"Battle of Czarny Ostrów",1657-07-20
"United States Senate election in Pennsylvania, 1940",1940-11-05
"Battle of the Coral Sea",1942-05-08
"United States Senate election in New Mexico, 1970",1970-11-03
"Mauritian general election, 2000",2000-09-12
"1986 Israel Super Cup",1986-09-16
"1996 MLS All-Star Game",1996-07-14
"EMLL 9th Anniversary Show",1942-09-25
"Battle of Bani Walid",2011-10-17
"Belgian regional elections, 1999",1999-06-13
"United States Senate election in Tennessee, 1970",1970-11-03
"Cape Grim massacre",1828-02-10
"United Kingdom local elections, 1985",1985-05-15
"Battle of Temalaca",1815-11-05
"Queensland state election, 2001",2001-02-17
"Mid-Ulster District Council election, 2014",2014-05-22
"Napoleonic Wars",1815-11-20
"Operation Conservation",1990-05-06
"Northern Territory general election, 1990",1990-10-27
"1894 All-Ireland Senior Hurling Championship Final",1895-03-24
"Basque parliamentary election, 2001",2001-05-13
"Rhamu Incident",1977-06-29
"2000 Cannes Film Festival",2000-05-14
"Brunei Revolt",1962-12-17
"1954 FA Cup Final",1954-05-01
"Battle of Minorca (1756)",1756-05-20
"1987 Scottish Cup Final",1987-05-16
"Battle of Sabugal",1811-04-03
"Battle of Kokavil",1990-07-11
"United States Senate election in Florida, 1974",1974-11-05
"Bangladeshi general election, June 1996",1996-06-12
"Battle of Wytyczno",1939-10-01
"2012 Yunnan earthquakes",2012-09-07
"W.A.K.O. World Championships 2007 (Belgrade)",2007-10-01
"Labour Party (UK) leadership election, 1992",1992-07-18
"Conquest of Stockholm",1523-06-17
"Battle of Cloyd's Mountain",1864-05-09
"Minneapolis City Council election, 2009",2009-11-03
"Vlora War",1920-09-03
"Battle of Ain Jalut",1260-09-03
"1960 All-Ireland Senior Hurling Championship Final",1960-09-04
"Sơn Tây Campaign",1883-12-11
"Siege of Genoa (1800)",1800-06-04
"New Jersey gubernatorial election, 2005",2005-11-08
"Battle of Miranpur Katra",1774-04-23
"Battle of the Chernaya",1855-08-16
"EMLL 45th Anniversary Show",1978-09-22
"Battle of Coronel",1914-11-01
"Strikeforce: Triple Threat",2006-12-08
"2003 Scottish Challenge Cup Final",2003-10-26
"United States Senate election in Minnesota, 1978",1978-11-07
"Battle of Höchst",1622-06-20
"United States presidential election in Hawaii, 2012",2012-11-06
"Georgian parliamentary election, 2012",2012-10-01
"1931 Dogger Bank earthquake",1931-06-07
"Royal Rumble (1992)",1992-01-19
"Operation Bulbasket",1944-07-24
"Battle of Rio de Janeiro",1711-09-22
"Kurdish–Turkish conflict (1978–present)",1978-11-27
"2012 Bulgarian Supercup",2012-07-11
"Japanese general election, 1996",1996-10-20
"Battle of Xiangyang",1273-03-14
"17th Berlin International Film Festival",1967-07-04
"1935 Quetta earthquake",1935-05-31
"Puerto Rico gubernatorial election, 2012",2012-11-06
"Mark Curtis Memorial Reunion",2005-05-05
"1976 Songpan–Pingwu earthquake",1976-08-16
"WWF One Night Only",1997-09-20
"2012 Coupe de France Final",2012-04-28
"Battle of Tashiskari",1609-06-16
"UFC 38",2002-07-13
"Operation Saber Guardian",2007-07-10
"Battle of Ocho Rios",1657-10-30
"Haryana Legislative Assembly election, 2000",2000-02-22
"2010 Piala Indonesia Final",2010-08-01
"Battle of Owyhee River",1866-12-26
"UFC 146",2012-05-26
"Pennsylvania gubernatorial election, 1863",1863-10-13
"Laguna local elections, 2010",2010-05-10
"Bulacan local elections, 2013",2013-05-13
"Philippine local elections, 1980",1980-01-30
"Belgian general election, 1974",1974-03-10
"Operation Achse",1943-09-19
"2010 Albanian Supercup",2010-08-16
"Prince of Anhua rebellion",1510-05-12
"United States Senate election in Alabama, 1990",1990-11-05
"United States gubernatorial elections, 1988",1988-11-08
"Battle of Hundsfeld",1109-08-24
"2009 Baraawe raid",2009-09-14
"Bellator Fighting Championships: Season Four  Bellator 44  1",2011-05-14
"4th Yerevan Golden Apricot International Film Festival",2007-07-14
"Venezuelan general election, 1947",1947-12-14
"Battle of Haslach-Jungingen",1805-10-11
"Operation Hammer (1997)",1997-07-07
"United States Senate election in Kentucky, 1984",1984-11-05
"Battle of Oudenarde",1708-07-11
"Pennsylvania gubernatorial election, 1982",1982-11-02
"Salamaua–Lae campaign",1943-09-16
"2013 UEFA Champions League Final",2013-05-25
"Sri Lankan provincial council elections, 2008–09",2009-04-25
"Battle of Wickham Anchorage",1943-07-03
"New Zealand Labour Party leadership election, 1980",1980-12-12
"Battle of Savenay",1793-12-23
"North Yorkshire County Council election, 2013",2013-05-02
"Mirgorod direction offensive",1943-08-03
"UFC Fight Night: Henderson vs. dos Anjos",2014-08-23
"Oregon gubernatorial election, 1986",1986-11-04
"Battle of Barnet",1471-04-14
"Pennsylvania's 7th congressional district election, 2010",2010-11-02
"2008 Toronto International Film Festival",2008-09-04
"Missouri House of Representatives elections, 2010",2010-11-02
"Battle of Mellrichstadt",1078-08-07
"2014 Conference Premier play-off Final",2014-05-18
"Battle of the Danube",1811-06-20
"Battle of Casal Novo",1811-03-14
"Battle of Grand Port",1810-08-27
"Spring Offensive",1918-07-18
"United States Senate election in Iowa, 1990",1990-11-05
"2012 Albanian Supercup",2012-08-19
"Jamaican general election, 2011",2011-12-29
"1967 Mudurnu earthquake",1967-07-22
"Waterford County Council election, 2004",2004-06-11
"World Wrestling Legends",2006-03-05
"Royal Rumble (1999)",1999-01-24
"Croydon North by-election, 2012",2012-11-29
"2011 W-League Grand Final",2011-02-12
"Battle of Calven",1499-05-22
"Kiev Bolshevik Uprising",1917-11-08
"1968 Cannes Film Festival",1968-05-10
"Battle of Raqqa",2013-03-06
"United States presidential election in New York, 1964",1964-11-03
"British Honduras general election, 1965",1965-03-01
"1999 Taça de Portugal Final",1999-06-19
"Battle of Kardzhali",1912-10-21
"Homenaje a Dos Leyendas (2007)",2007-03-30
"2003 Altai earthquake",2003-09-27
"United States presidential election in North Carolina, 1996",1996-11-05
"Castile-La Mancha parliamentary election, 2015",2015-05-24
"Battle of the Sesia (1524)",1524-04-30
"United States Senate election in Ohio, 2012",2012-11-06
"Battle of Sipe-Sipe",1815-11-28
"Battle of Vuelta de Obligado",1845-11-20
"United States presidential election in Nebraska, 2012",2012-11-06
"Action of 13 May 1944",1944-05-13
"United States Senate election in Pennsylvania, 1968",1968-11-05
"Battle of Jugla",1917-09-03
"United States presidential election in Michigan, 1984",1984-11-06
"Sin Piedad (2012)",2012-12-14
"Second Battle of Donaldsonville",1863-06-28
"2015 Indian Super League Final",2015-12-20
"Swedish general election, 1991",1991-09-15
"1988 FA Cup Final",1988-05-14
"1991 Cannes Film Festival",1991-05-09
"2006 Borujerd earthquake",2006-03-31
"Australian federal election, 1954",1954-05-29
"Occupation of Araucanía",1881-11-03
"United States Senate election in South Carolina, 1998",1998-11-03
"Second Battle of Charasiab",1880-04-25
"United Kingdom general election, 1831",1831-06-01
"City of Lincoln Council election, 2012",2012-05-03
"Operation Desoto",1967-04-07
"Australian Labor Party leadership spill, 2012",2012-02-27
"2009 Albanian Cup Final",2009-05-06
"26th Yokohama Film Festival",2005-02-06
"Battle of Seonghwan",1894-07-29
"1985 Bulgarian Cup Final",1985-06-19
"Battle of Cape Henry",1781-03-16
"Mayoyao, Ifugao  Battle of Mayoyao Ridge  1",1945-07-26
"Operation Shock",1968-10-31
"Battle of Falconaria",1299-12-01
"2013 DFL-Supercup",2013-07-27
"Siege of Sancerre",1573-08-25
"2014 Pro12 Grand Final",2014-05-31
"Ceylonese parliamentary election, 1965",1965-03-22
"Action of 12 October 1950",1950-10-12
"1953 Bay of Plenty earthquake",1953-09-29
"United States presidential election in Tennessee, 2012",2012-11-06
"Fermanagh District Council election, 2011",2011-05-05
"British Columbia general election, 1960",1960-09-12
"Massachusetts gubernatorial election, 2018",2018-11-06
"2009 All-Ireland Senior Camogie Championship Final",2009-09-13
"2007 FA Trophy Final",2007-05-12
"Swedish general election, 1932",1932-09-17
"United States Senate election in Michigan, 2008",2008-11-04
"Labour Party (UK) deputy leadership election, 1994",1994-06-21
"United States House of Representatives election in Florida, 1858",1858-10-04
"Operation Baawar",2010-12-05
"United States House of Representatives election in Florida, 1848",1848-10-02
"Battle of Formigny",1450-04-15
"Battle of Alexandropol",1920-11-07
"Bellator MMA: Season Eleven  Bellator 129: Neer vs. Bradley  1",2014-10-17
"2014 Kangding earthquake",2014-11-22
"1972 Copa del Generalísimo Final",1972-07-08
"Battle of Platte Bridge",1865-07-26
"1948 Lady Caycay earthquake",1948-01-25
"Battle of Aberdeen (1644)",1644-09-13
"Battle of Saorgio",1794-04-28
"Battle of Millarapue",1557-11-30
"Battle of Gospić",1991-09-22
"United States presidential election in Tennessee, 1988",1988-11-08
"Afghan Civil War (1989–92)",1989-05-16
"Battle of San Francisco de Malabon",1896-08-31
"Cambodian general election, 2013",2013-07-28
"United States presidential election in Maine, 2016",2016-11-08
"Safra massacre",1980-07-07
"1945 Copa del Generalísimo Final",1945-06-24
"First Battle of Fallujah",2004-05-01
"Battle of Franklin (1863)",1863-04-10
"1908 Copa del Rey Final",1908-04-12
"Battle of Porrassalmi",1789-06-13
"Operation Summer Rains",2006-11-26
"1922 Egypt Cup Final",1922-04-21
"Next New Zealand general election",2017-11-18
"2009 Adelaide Film Festival",2009-03-01
"Battle of Arbedo",1422-06-30
"Tuapeka by-election, 1908",1908-06-05
"Battle of Leeds",1643-01-23
"Belgorod-Khar'kov Offensive Operation",1943-08-23
"Sammarinese general election, 1909",1909-06-19
"1980 Israel Super Cup",1980-08-30
"Portuguese legislative election, 2009",2009-09-27
"1966 Republic of the Congo coup d'état attempt",1966-07-06
"W.A.K.O. World Championships 1985 (London)",1985-11-02
"Battle of Sakainehara",1478-12-10
"United States presidential election in California, 1860",1860-11-06
"Battle of Okpo",1592-05-07
"Battle of Naulila",1914-10-14
"Battle of Bilbao",1937-06-19
"Belizean general election, 2012",2012-03-07
"Scuttling of SMS Cormoran",1917-04-07
"Minnesota Attorney General election, 2014",2014-11-04
"Minnesota gubernatorial election, 1970",1970-11-03
"2011 Greek Cup Final",2011-04-30
"United States presidential election, 1976",1976-11-02
"Operation Marne Torch",2007-09-15
"Oregon gubernatorial election, 1990",1990-11-07
"Essex County Council election, 1981",1981-05-07
"Revolution of 1934",1934-10-19
"Hong Kong sanitary board election, 1906",1906-01-22
"United Kingdom local elections, 2013",2013-05-02
"Tower Hamlets London Borough Council election, 2006",2006-05-04
"United States presidential election in Vermont, 1936",1936-11-03
"Battle of Mont Saint-Quentin",1918-09-03
"1991 Scottish Challenge Cup Final",1991-12-08
"Maltese general election, 1849",1849-08-20
"Yogyakarta and Surakarta Offensive",1949-08-07
"Argentine general election, 1999",1999-10-24
"Siege of Landrecies (1794)",1794-04-30
"1986 Bulgarian Cup Final",1986-04-27
"Glasgow City District Council election, 1977",1977-05-03
"United States Senate election in Rhode Island, 2002",2002-11-04
"Battle of Johnsonville",1864-11-04
"Montana gubernatorial election, 1980",1980-11-04
"United States presidential election in Minnesota, 1984",1984-11-06
"South Dakota gubernatorial election, 1986",1986-11-04
"Otakuthon",2015-08-09
"East Sussex County Council election, 2013",2013-05-02
"Minnesota Senate election, 2012",2012-11-06
"Battle of Morval",1916-09-28
"Battle of Volturnus (1860)",1860-10-02
"United States House of Representatives election in the District of Columbia, 1988",1988-11-08
"War of the Spanish Succession",1701-07-09
"Datong–Puzhou Campaign",1946-08-14
"2005 Kashmir earthquake",2005-10-08
"Aragonese parliamentary election, 2003",2003-05-25
"Victorian state election, 1929",1929-11-30
"Siege of Damietta (1249)",1249-06-06
"2000 Enggano earthquake",2000-06-04
"2014 Taça da Liga Final",2014-05-07
"UFC 67",2007-02-03
"2003 Hopman Cup",2002-12-28
"ROKS Cheonan sinking",2010-03-26
"Battle of the Imjin River",1951-04-25
"1998 Copa del Rey Final",1998-04-29
"Action of 6 April 1809",1809-04-06
"2009 Norwegian Football Cup Final",2009-11-08
"2012 Bani Walid uprising",2012-01-25
"United States Senate election in Iowa, 1996",1996-11-05
"Jabłonków Incident",1939-08-26
"Battle of Caldiero (1813)",1813-11-15
"North Korean parliamentary election, 2014",2014-03-09
"Battle of Heligoland (1864)",1864-05-09
"2003 FIFA Women's World Cup Final",2003-10-12
"Syrian presidential election, 1985",1985-02-10
"K-1 Fighting Network Romania 2007",2007-05-04
"13 April 1999 Albania–Yugoslav border incident",1999-04-13
"United Kingdom general election, 1987",1987-06-11
"Louisiana gubernatorial election, 1896",1896-04-21
"WrestleMania VI",1990-04-01
"Cornish Rebellion of 1497",1497-06-17
"8th Vietnam Film Festival",1988-03-22
"Senussi Campaign",1915-11-19
"Battle of Rheinfelden",1638-03-03
"Invasion of Poland",1939-10-06
"Royal Rumble (2008)",2008-01-27
"Hamburg state election, 1997",1997-09-21
"Operation Stinger",1991-07-27
"2007 Slovak Cup Final",2007-05-08
"Dunedin mayoral election, 2004",2004-10-09
"Essex County Council election, 1989",1989-05-04
"United States House of Representatives elections in California, 1906",1906-11-06
"French legislative election, 1981",1981-06-21
"Scottish regional elections, 1978",1978-05-02
"Louisiana gubernatorial election, 1842",1842-07-06
"California State Assembly election, 2012",2012-11-06
"2005 Munster Senior Hurling Championship Final",2005-06-26
"Battle of Ballynahinch",1798-06-13
"Convoy SC 121",1943-03-10
"2011 Rugby World Cup Final",2011-10-23
"2011 Scottish League Cup Final",2011-03-20
"United States Senate election in Massachusetts, 1994",1994-11-08
"Lvov–Sandomierz Offensive",1944-07-13
"Operation Battleaxe",1941-06-17
"Vermont gubernatorial election, 1968",1968-11-05
"Washington House of Representatives election, 2012",2012-11-06
"Missouri gubernatorial election, 1860",1860-08-06
"Rhodesian general election, 1965",1965-05-07
"Battle of Berlin (RAF campaign)",1943-11-18
"Vengeance (2002)",2002-07-21
"United States presidential election in New Jersey, 1984",1984-11-06
"Battle of Praia da Vitória",1829-08-11
"Macedonian parliamentary election, 2016",2016-06-05
"Battle of the Monongahela",1755-07-09
"Sin Salida",2009-12-04
"1935 Cupa României Final",1935-06-06
"1952 Scottish Cup Final",1952-04-19
"New Zealand Liberal Party leadership election, 1912",1912-03-22
"2009 Hong Kong Community Shield",2009-08-17
"Nueces massacre",1862-08-10
"Austrian Civil War",1934-02-16
"Siege of Lydenburg",1881-01-06
"1988 European Cup Winners' Cup Final",1988-05-11
"United States House of Representatives elections in California, 1892",1892-11-08
"2010 Football League Two play-off Final",2010-05-30
"Florida gubernatorial election, 1998",1998-11-03
"Kyrgyzstani presidential election, 2009",2009-07-23
"French presidential election, 1995",1995-05-07
"Hertfordshire County Council election, 2009",2009-06-04
"Battle of Dasman Palace",1990-08-02
"Argentine legislative election, 2009",2009-06-28
"Respect is Earned II",2008-08-01
"Victorian state election, 1932",1932-05-14
"Invasion of Algiers in 1830",1830-07-07
"Italian presidential election, 1985",1985-06-24
